| end of split   8 /  8 | epoch   7 | time: 16.53s | valid loss  1.87 | valid ppl     6.46 | learning rate 5.0000
| end of split   1 /  8 | epoch   8 | time: 15.46s | valid loss  1.84 | valid ppl     6.28 | learning rate 5.0000
| end of split   2 /  8 | epoch   8 | time: 13.65s | valid loss  1.85 | valid ppl     6.34 | learning rate 5.0000
| end of split   3 /  8 | epoch   8 | time: 13.12s | valid loss  1.85 | valid ppl     6.38 | learning rate 5.0000
| end of split   4 /  8 | epoch   8 | time: 18.78s | valid loss  1.89 | valid ppl     6.61 | learning rate 5.0000
| end of split   5 /  8 | epoch   8 | time: 12.87s | valid loss  1.84 | valid ppl     6.30 | learning rate 5.0000
| end of split   6 /  8 | epoch   8 | time: 13.47s | valid loss  1.84 | valid ppl     6.31 | learning rate 5.0000
| end of split   7 /  8 | epoch   8 | time: 16.43s | valid loss  1.85 | valid ppl     6.38 | learning rate 5.0000
| end of split   8 /  8 | epoch   8 | time: 20.06s | valid loss  1.88 | valid ppl     6.54 | learning rate 5.0000
| end of split   1 /  8 | epoch   9 | time: 16.09s | valid loss  1.85 | valid ppl     6.36 | learning rate 5.0000
| end of split   2 /  8 | epoch   9 | time: 13.11s | valid loss  1.82 | valid ppl     6.17 | learning rate 5.0000
| end of split   3 /  8 | epoch   9 | time: 12.19s | valid loss  1.83 | valid ppl     6.24 | learning rate 5.0000
| end of split   4 /  8 | epoch   9 | time: 14.01s | valid loss  1.83 | valid ppl     6.24 | learning rate 5.0000
| end of split   5 /  8 | epoch   9 | time: 17.14s | valid loss  1.87 | valid ppl     6.48 | learning rate 5.0000
| end of split   6 /  8 | epoch   9 | time: 16.12s | valid loss  1.84 | valid ppl     6.27 | learning rate 5.0000
| end of split   7 /  8 | epoch   9 | time: 18.25s | valid loss  1.87 | valid ppl     6.48 | learning rate 5.0000
| end of split   8 /  8 | epoch   9 | time: 13.79s | valid loss  1.83 | valid ppl     6.24 | learning rate 5.0000
| end of split   1 /  8 | epoch  10 | time: 14.66s | valid loss  1.82 | valid ppl     6.16 | learning rate 5.0000
| end of split   2 /  8 | epoch  10 | time: 17.20s | valid loss  1.82 | valid ppl     6.17 | learning rate 5.0000
| end of split   3 /  8 | epoch  10 | time: 13.20s | valid loss  1.81 | valid ppl     6.08 | learning rate 5.0000
| end of split   4 /  8 | epoch  10 | time: 14.26s | valid loss  1.81 | valid ppl     6.11 | learning rate 5.0000
| end of split   5 /  8 | epoch  10 | time: 13.93s | valid loss  1.81 | valid ppl     6.12 | learning rate 5.0000
| end of split   6 /  8 | epoch  10 | time: 14.09s | valid loss  1.79 | valid ppl     6.00 | learning rate 5.0000
| end of split   7 /  8 | epoch  10 | time: 18.20s | valid loss  1.84 | valid ppl     6.33 | learning rate 5.0000
| end of split   8 /  8 | epoch  10 | time: 18.21s | valid loss  1.85 | valid ppl     6.39 | learning rate 5.0000
TEST: valid loss  1.96 | valid ppl     7.08
