EPOCH	TIMESTAMP	BAD_EPOCHS	LEARNING_RATE	TRAIN_LOSS	DEV_LOSS	DEV_PRECISION	DEV_RECALL	DEV_F1
56	17:06:51	3	0.0004	0.6053518723873865	0.6679108738899231	0.6867	0.6867	0.6867
57	17:07:00	4	0.0004	0.5975525648820967	0.6680172085762024	0.6747	0.6747	0.6747
58	17:07:06	5	0.0004	0.6090140626544044	0.6679654717445374	0.6867	0.6867	0.6867
59	17:07:16	6	0.0004	0.6024330428668431	0.6679806113243103	0.6867	0.6867	0.6867
60	17:07:24	1	0.0002	0.5935311147144863	0.6679766178131104	0.6867	0.6867	0.6867
61	17:07:33	2	0.0002	0.6092405972026643	0.6679597496986389	0.6867	0.6867	0.6867
62	17:07:42	3	0.0002	0.6021942482108161	0.667971134185791	0.6867	0.6867	0.6867
63	17:07:51	4	0.0002	0.6052288242748806	0.6679942011833191	0.6867	0.6867	0.6867
64	17:07:59	5	0.0002	0.592485283102308	0.6679927706718445	0.6867	0.6867	0.6867
65	17:08:08	6	0.0002	0.6001872008755094	0.6680007576942444	0.6867	0.6867	0.6867
